Date,Code
2/19/2020 2:48:54 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:48:15 PM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 2:43:04 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:40:14 PM,Alarm 1.17 LINER INFEED LC NOT OK
2/19/2020 2:36:36 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:36:24 PM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 2:25:21 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:24:22 PM,Alarm 2.26 LIFT ARM 2 NOT ADVANCED
2/19/2020 2:18:27 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:17:46 PM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 2:15:55 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:15:17 PM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 2:14:03 PM,Alarm 1.12 VSD 227 FAULT
2/19/2020 2:12:56 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 2:12:08 PM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 1:41:41 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 1:26:22 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 1:24:34 PM,Alarm 3.16 LIFT DRIVER NOT RETURNED
2/19/2020 1:24:34 PM,Alarm 3.14 LIFT DRIVER CARRIAGE NOT RETURNED
2/19/2020 1:21:24 PM,Alarm 3.16 LIFT DRIVER NOT RETURNED
2/19/2020 1:21:24 PM,Alarm 3.14 LIFT DRIVER CARRIAGE NOT RETURNED
2/19/2020 1:05:18 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 1:05:18 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 1:05:07 PM,Alarm 3.16 LIFT DRIVER NOT RETURNED
2/19/2020 1:05:07 PM,Alarm 3.14 LIFT DRIVER CARRIAGE NOT RETURNED
2/19/2020 1:02:33 PM,Alarm 1.18 DISCHARGE LC NOT OK
2/19/2020 12:53:15 PM,Alarm 1.17 LINER INFEED LC NOT OK
2/19/2020 12:52:16 PM,Alarm 1.17 LINER INFEED LC NOT OK
2/19/2020 12:14:31 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:05:37 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:59:54 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:59:20 AM,Alarm 1.18 DISCHARGE LC NOT OK
2/19/2020 10:55:33 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/19/2020 10:52:57 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:00:58 AM,Alarm 2.28 LIFT ARM 2 NOT WDE
2/19/2020 10:00:57 AM,Alarm 2.9 WRAPPER ROBOT TOOLING NOT RETURNED
2/19/2020 10:00:30 AM,Alarm 3.5 LIFT TOP VAC CARRIAGE NOT ADVANCED
2/19/2020 9:56:12 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:55:50 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:54:49 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:48:14 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:45:39 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:45:28 AM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 9:42:59 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/19/2020 9:39:15 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:38:27 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 9:36:28 AM,Alarm 1.17 LINER INFEED LC NOT OK
2/19/2020 9:30:02 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:26:55 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:26:48 AM,Alarm 3.3 LIFT TOP CLAMP NOT ADVANCED
2/19/2020 9:24:45 AM,Alarm 1.13 VSD 234 FAULT
2/19/2020 9:24:45 AM,Alarm 1.12 VSD 227 FAULT
2/19/2020 9:24:04 AM,Alarm 1.18 DISCHARGE LC NOT OK
2/19/2020 9:15:05 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:52:27 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:50:20 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:50:08 AM,Alarm 4.25 UNLOAD CONV DRIVER NOT RETURNED
2/19/2020 8:50:07 AM,Alarm 4.23 UNLOAD CONV DRIVER CARRIAGE NOT RETURNED
2/19/2020 8:48:25 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:48:17 AM,Alarm 3.3 LIFT TOP CLAMP NOT ADVANCED
2/19/2020 8:47:24 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:47:15 AM,Alarm 2.30 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 8:43:11 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 8:43:01 AM,Alarm 3.3 LIFT TOP CLAMP NOT ADVANCED
2/19/2020 8:30:33 AM,Alarm 1.13 VSD 234 FAULT
2/19/2020 8:30:33 AM,Alarm 1.12 VSD 227 FAULT
